,h10, , ,h20, , ,h30, , ,h50, , 
 , ,avg loss,MCS p-value, ,avg loss,MCS p-value, ,avg loss,MCS p-value, ,avg loss,MCS p-value
 ,deepLOB_L1,1.0338094288652593,0.0,deepLOB_L2,1.1787480549378828,0.0,deepLOB_L2,1.235455946488814,0.0,deepLOB_L2,1.1926286979155107,0.0
 ,deepLOB_L2,0.9910045103593306,0.0,benchmark,1.0599503414577183,0.0,deepLOB_L1,1.139771580696106,0.0,deepLOB_L1,1.1821817268024792,0.0
 ,benchmark,0.9717350362779158,0.0,deepLOB_L1,1.0844885815273633,0.0,benchmark,1.0909085840878143,0.0,deepVOL_L3,1.1264863122593274,0.0
 ,deepOF_L1,0.9922778118740428,0.0,deepOF_L1,1.0478609150106257,0.0,deepOF_L1,1.084704800085588,0.0,deepOF_L1,1.1044317267157815,0.28
 ,deepVOL_L3_seq2seq,0.926728449084542,0.0,deepVOL_L3_seq2seq,0.9906884540211071,0.03,deepVOL_L3,1.0671499371528625,0.03,deepOF_L2,1.1075013442472978,0.28
 ,deepVOL_L2_seq2seq,0.9330420765009794,0.0,deepVOL_L2_seq2seq,0.981639948758212,0.11,deepOF_L2,1.0383088155226274,0.59,benchmark,1.0985524233958648,0.28
 ,deepVOL_L3,0.899992520158941,0.0,deepVOL_L2,0.9786975167014382,0.22,deepVOL_L3_seq2seq,1.037442527034066,0.59,deepVOL_L3_seq2seq,1.0948617295785383,0.28
 ,deepVOL_L2,0.8937325748530301,0.0,deepVOL_L3,0.9729999845678156,0.22,deepVOL_L2,1.0250725637782703,0.59,deepVOL_L2_seq2seq,1.0720737684856763,0.28
 ,deepOF_L2,0.8681906407529657,1,deepOF_L2,0.9621747027743947,1,deepVOL_L2_seq2seq,1.018357428637418,1,deepVOL_L2,1.0594541376287288,1
AAPL,deepOF_L1_seq2seq,2.3600681261582808,0.0,deepOF_L1_seq2seq,2.5286841067400845,0.0,deepLOB_L1_seq2seq,3.5274593396620317,0.0,deepOF_L1_seq2seq,2.6948434981432827,0.0
 ,deepLOB_L1_seq2seq,3.4994139021093194,0.0,deepLOB_L1_seq2seq,1.5375633781606501,0.0,deepOF_L1_seq2seq,2.6142204241319136,0.0,deepLOB_L1_seq2seq,1.5586365244605325,0.0
 ,deepLOB_L2,1.1946910944851963,0.0,deepLOB_L2,1.219870545647361,0.0,deepLOB_L2,1.1992569945075295,0.0,deepLOB_L2,1.2024641036987305,0.0
 ,deepOF_L2_seq2seq,1.262969266284596,0.0,deepOF_L2_seq2seq,1.2359739542007446,0.0,deepLOB_L1,1.1679916706952183,0.0,deepLOB_L2_seq2seq,1.2538967349312522,0.0
 ,deepLOB_L1,1.1713905767960981,0.0,deepLOB_L1,1.160068154335022,0.0,deepLOB_L2_seq2seq,1.2590541406111284,0.0,deepLOB_L1,1.1767181916670366,0.0
 ,deepLOB_L2_seq2seq,1.2623061808672817,0.0,deepLOB_L2_seq2seq,1.2606179172342473,0.0,deepOF_L2_seq2seq,1.2264036807146939,0.0,deepOF_L2_seq2seq,1.2182094942439685,0.0
 ,benchmark,1.1050153052075646,0.0,benchmark,1.0992309622111611,0.0,benchmark,1.0976316800152264,0.5,deepVOL_L3,1.12052630294453,0.0
 ,deepOF_L1,1.0900598114187068,0.0,deepOF_L1,1.0925454551523381,0.22,deepVOL_L3,1.0971368117765947,0.5,deepOF_L2,1.1055976152420044,0.08
 ,deepVOL_L3_seq2seq,1.069865508513017,0.11,deepOF_L2,1.077465675093911,0.48,deepOF_L1,1.09177857095545,0.85,benchmark,1.0958803118904776,0.87
 ,deepVOL_L2_seq2seq,1.048089162869887,0.11,deepVOL_L3_seq2seq,1.0817085938020186,0.48,deepOF_L2,1.0892883972688154,0.85,deepVOL_L2,1.0940568230368874,0.9
 ,deepOF_L2,1.0393434004350142,0.27,deepVOL_L3,1.0727258270437068,0.48,deepVOL_L3_seq2seq,1.0917317000302402,0.85,deepVOL_L3_seq2seq,1.0947859287261963,0.9
 ,deepVOL_L2,1.0291378931565718,0.38,deepVOL_L2_seq2seq,1.067606893452731,0.48,deepVOL_L2_seq2seq,1.0840246352282437,0.85,deepOF_L1,1.088039051402699,0.9
 ,deepVOL_L3,1.0256726850162854,1,deepVOL_L2,1.0602563294497402,1,deepVOL_L2,1.0817865133285522,1,deepVOL_L2_seq2seq,1.0864483443173496,1
